source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Argentina,ARG,Peru,PER,2019,Ignore,63463
Argentina,ARG,Peru,PER,2020,Ignore,98438
Argentina,ARG,Peru,PER,2021,Ignore,118632
Argentina,ARG,Poland,POL,2019,Ignore,27307
Argentina,ARG,Rep. of Korea,KOR,2017,Fuel fabrication,286
Argentina,ARG,Rep. of Korea,KOR,2020,Ignore,152
Argentina,ARG,Rep. of Korea,KOR,2021,Ignore,422
Argentina,ARG,Russian Federation,RUS,2017,Ignore,35398
Argentina,ARG,Saudi Arabia,SAU,2018,Ignore,68746
Argentina,ARG,USA,USA,2017,Ignore,3875
Argentina,ARG,USA,USA,2019,Fuel fabrication,28472
Argentina,ARG,United Kingdom,GBR,2018,Ignore,1621938
Argentina,ARG,United Kingdom,GBR,2020,Ignore,602802
Argentina,ARG,Uruguay,URY,2017,Ignore,457666
Argentina,ARG,Uruguay,URY,2018,Ignore,412947
Argentina,ARG,Uruguay,URY,2019,Ignore,435224
Argentina,ARG,Uruguay,URY,2020,Ignore,370150
Argentina,ARG,Uruguay,URY,2021,Ignore,106312
Argentina,ARG,Venezuela,VEN,2017,Ignore,99231
Armenia,ARM,Bulgaria,BGR,2019,Ignore,258
Armenia,ARM,China,CHN,2019,Ignore,350
Armenia,ARM,China,CHN,2019,Power Plant,184976
Armenia,ARM,Colombia,COL,2018,Power Plant,4240
Armenia,ARM,Netherlands,NLD,2019,Ignore,357
Aruba,AWB,Sudan,SDN,2017,Enrichment,80
Aruba,AWB,Sudan,SDN,2017,Ignore,1486
Aruba,AWB,Sudan,SDN,2017,Mining,178
Aruba,AWB,USA,USA,2017,Ignore,435
Aruba,AWB,USA,USA,2017,Spent Fuel / HLW,1254
Aruba,AWB,USA,USA,2019,Ignore,851
Aruba,AWB,Venezuela,VEN,2017,Power Plant,335
Australia,AUS,Angola,AGO,2019,Power Plant,424
Australia,AUS,Angola,AGO,2020,Power Plant,48
Australia,AUS,Angola,AGO,2021,Power Plant,22
Australia,AUS,Argentina,ARG,2017,Enrichment,47762
