source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Australia,AUS,Argentina,ARG,2017,Enrichment,95527
Australia,AUS,Argentina,ARG,2019,Ignore,66883
Australia,AUS,Argentina,ARG,2020,Ignore,2571
Australia,AUS,Argentina,ARG,2020,Power Plant,32753
Australia,AUS,Armenia,ARM,2019,Ignore,265087
Australia,AUS,Austria,AUT,2017,Ignore,172367
Australia,AUS,Austria,AUT,2018,Ignore,108076
Australia,AUS,Austria,AUT,2019,Ignore,72798
Australia,AUS,Austria,AUT,2020,Ignore,93323
Australia,AUS,Austria,AUT,2021,Ignore,119344
Australia,AUS,Austria,AUT,2021,Power Plant,41
Australia,AUS,Azerbaijan,AZE,2017,Enrichment,133116
Australia,AUS,Azerbaijan,AZE,2018,Enrichment,132231
Australia,AUS,Azerbaijan,AZE,2020,Ignore,276500
Australia,AUS,Bahrain,BHR,2017,Fuel fabrication,195310
Australia,AUS,Bangladesh,BGD,2020,Enrichment,138010
Australia,AUS,Belarus,BLR,2019,Ignore,2000
Australia,AUS,Belarus,BLR,2020,Ignore,6200
Australia,AUS,Belgium,BEL,2018,Ignore,4516
Australia,AUS,Belgium,BEL,2019,Ignore,3090
Australia,AUS,Belgium,BEL,2020,Fuel fabrication,11930
Australia,AUS,Belgium,BEL,2020,Ignore,3170
Australia,AUS,Belgium,BEL,2021,Fuel fabrication,20881
Australia,AUS,Benin,BEN,2021,Ignore,60531
Australia,AUS,Botswana,BWA,2016,Mining,152
Australia,AUS,Botswana,BWA,2020,Ignore,2935
Australia,AUS,Brazil,BRA,2016,Fuel fabrication,48480
Australia,AUS,Brazil,BRA,2016,Ignore,74905
Australia,AUS,Brazil,BRA,2016,Power Plant,50657
Australia,AUS,Brazil,BRA,2017,Ignore,13464
Australia,AUS,Brazil,BRA,2017,Power Plant,89756
Australia,AUS,Brazil,BRA,2019,Ignore,246790
Australia,AUS,Brazil,BRA,2021,Ignore,127619
Australia,AUS,Brunei Darussalam,BRN,2017,Ignore,9643
Australia,AUS,Brunei Darussalam,BRN,2018,Ignore,37756
Australia,AUS,Brunei Darussalam,BRN,2019,Ignore,46890
Australia,AUS,Brunei Darussalam,BRN,2020,Ignore,4408
Australia,AUS,Burkina Faso,BFA,2021,Ignore,7167
Australia,AUS,Canada,CAN,2016,Enrichment,8951
Australia,AUS,Canada,CAN,2016,Ignore,16117
Australia,AUS,Canada,CAN,2016,Mining,149879621
Australia,AUS,Canada,CAN,2016,Power Plant,6389712
Australia,AUS,Canada,CAN,2017,Enrichment,99753
Australia,AUS,Canada,CAN,2017,Ignore,363993
Australia,AUS,Canada,CAN,2017,Mining,154878489
Australia,AUS,Canada,CAN,2017,Power Plant,20656808
Australia,AUS,Canada,CAN,2018,Enrichment,206946
Australia,AUS,Canada,CAN,2018,Fuel fabrication,56198
Australia,AUS,Canada,CAN,2018,Ignore,817904
Australia,AUS,Canada,CAN,2018,Mining,201539223
Australia,AUS,Canada,CAN,2018,Power Plant,21340587
Australia,AUS,Canada,CAN,2019,Enrichment,69424
Australia,AUS,Canada,CAN,2019,Fuel fabrication,81280
Australia,AUS,Canada,CAN,2019,Ignore,688565
Australia,AUS,Canada,CAN,2019,Mining,733652385
Australia,AUS,Canada,CAN,2019,Power Plant,20112929
Australia,AUS,Canada,CAN,2020,Enrichment,31297
Australia,AUS,Canada,CAN,2020,Fuel fabrication,23771
Australia,AUS,Canada,CAN,2020,Ignore,521877
Australia,AUS,Canada,CAN,2020,Mining,774656692
Australia,AUS,Canada,CAN,2020,Power Plant,22065963
Australia,AUS,Canada,CAN,2021,Fuel fabrication,14770
Australia,AUS,Canada,CAN,2021,Ignore,449191
Australia,AUS,Canada,CAN,2021,Mining,297633524
Australia,AUS,Canada,CAN,2021,Power Plant,8809447
Australia,AUS,Chile,CHL,2016,Fuel fabrication,16114
Australia,AUS,Chile,CHL,2016,Ignore,24690
Australia,AUS,Chile,CHL,2017,Fuel fabrication,5189
Australia,AUS,Chile,CHL,2018,Fuel fabrication,9093
Australia,AUS,Chile,CHL,2018,Ignore,244294
Australia,AUS,Chile,CHL,2019,Enrichment,45975
Australia,AUS,Chile,CHL,2019,Fuel fabrication,57089
Australia,AUS,Chile,CHL,2019,Ignore,311359
Australia,AUS,Chile,CHL,2020,Ignore,35429
Australia,AUS,Chile,CHL,2021,Fuel fabrication,7128
Australia,AUS,Chile,CHL,2021,Ignore,50000
Australia,AUS,China,CHN,2016,Enrichment,5475
Australia,AUS,China,CHN,2016,Ignore,2398164
Australia,AUS,China,CHN,2016,Mining,91918777
Australia,AUS,China,CHN,2016,Power Plant,5756036
Australia,AUS,China,CHN,2017,Enrichment,42363
Australia,AUS,China,CHN,2017,Ignore,6006119
Australia,AUS,China,CHN,2017,Mining,142587438
Australia,AUS,China,CHN,2017,Power Plant,90200198
Australia,AUS,China,CHN,2018,Enrichment,18278
Australia,AUS,China,CHN,2018,Ignore,3043286
Australia,AUS,China,CHN,2018,Mining,46356334
Australia,AUS,China,CHN,2018,Power Plant,435996283
Australia,AUS,China,CHN,2019,Enrichment,252252
Australia,AUS,China,CHN,2019,Ignore,1612426
Australia,AUS,China,CHN,2019,Power Plant,596925820
Australia,AUS,China,CHN,2020,Ignore,366738
Australia,AUS,China,CHN,2020,Mining,299625
Australia,AUS,China,CHN,2020,Power Plant,409877867
Australia,AUS,China,CHN,2021,Ignore,963538
Australia,AUS,China,CHN,2021,Power Plant,445402275
Australia,AUS,Colombia,COL,2016,Ignore,68190
Australia,AUS,Colombia,COL,2017,Ignore,175197
Australia,AUS,Cote d'Ivoire,CIV,2016,Enrichment,1123
Australia,AUS,Cote d'Ivoire,CIV,2020,Enrichment,56
Australia,AUS,Czech Rep.,CZE,2016,Ignore,161290
Australia,AUS,Czech Rep.,CZE,2017,Ignore,23494
Australia,AUS,Czech Rep.,CZE,2018,Ignore,18672
Australia,AUS,Czech Rep.,CZE,2021,Ignore,8821
Australia,AUS,Dem. Rep. of the Congo,COD,2016,Ignore,22379
Australia,AUS,Dem. Rep. of the Congo,COD,2017,Ignore,114244
Australia,AUS,Dem. Rep. of the Congo,COD,2018,Ignore,37290
Australia,AUS,Dem. Rep. of the Congo,COD,2019,Ignore,35896
Australia,AUS,Denmark,DNK,2018,Ignore,90285
Australia,AUS,Denmark,DNK,2019,Ignore,85175
Australia,AUS,Denmark,DNK,2021,Fuel fabrication,195
Australia,AUS,Denmark,DNK,2021,Ignore,142207
Australia,AUS,Dominican Rep.,DOM,2017,Ignore,251253
Australia,AUS,Dominican Rep.,DOM,2019,Ignore,260006
Australia,AUS,Ecuador,ECU,2019,Ignore,82452
Australia,AUS,El Salvador,SLV,2017,Ignore,79002
Australia,AUS,El Salvador,SLV,2020,Fuel fabrication,11516
Australia,AUS,Ethiopia,ETH,2019,Fuel fabrication,3366
Australia,AUS,Fiji,FJI,2016,Enrichment,28300
Australia,AUS,Fiji,FJI,2017,Fuel fabrication,192
Australia,AUS,Fiji,FJI,2019,Ignore,5560
Australia,AUS,Fiji,FJI,2020,Enrichment,18976
Australia,AUS,Fiji,FJI,2021,Ignore,2221
Australia,AUS,Finland,FIN,2016,Ignore,2
Australia,AUS,Finland,FIN,2017,Ignore,255634
Australia,AUS,Finland,FIN,2018,Ignore,372382
Australia,AUS,Finland,FIN,2019,Ignore,286293
Australia,AUS,Finland,FIN,2019,Power Plant,30898
Australia,AUS,Finland,FIN,2020,Ignore,274922
Australia,AUS,Finland,FIN,2021,Ignore,121328
Australia,AUS,France,FRA,2016,Ignore,73
Australia,AUS,France,FRA,2016,Mining,66207446
Australia,AUS,France,FRA,2016,Power Plant,2353107
Australia,AUS,France,FRA,2017,Ignore,148
Australia,AUS,France,FRA,2017,Mining,118390320
