source,source_iso3,recipient,recipient_iso3,category,sum_value_usd
Australia,AUS,Indonesia,IDN,Enrichment,50168
Australia,AUS,Indonesia,IDN,Fuel fabrication,4081
Australia,AUS,Indonesia,IDN,Ignore,600326
Australia,AUS,Indonesia,IDN,Power Plant,2377
Australia,AUS,Iran,IRN,Ignore,169412
Australia,AUS,Iraq,IRQ,Ignore,934376
Australia,AUS,Ireland,IRL,Fuel fabrication,341
Australia,AUS,Ireland,IRL,Ignore,359364
Australia,AUS,Ireland,IRL,Power Plant,81089
Australia,AUS,Israel,ISR,Ignore,86474
Australia,AUS,Israel,ISR,Power Plant,579000
Australia,AUS,Italy,ITA,Enrichment,272807
Australia,AUS,Italy,ITA,Ignore,3151
Australia,AUS,Jamaica,JAM,Ignore,57333
Australia,AUS,Japan,JPN,Enrichment,62318
Australia,AUS,Japan,JPN,Ignore,13387378
Australia,AUS,Japan,JPN,Power Plant,1573920
Australia,AUS,Jordan,JOR,Ignore,64590
Australia,AUS,Kazakhstan,KAZ,Ignore,38393
Australia,AUS,Kenya,KEN,Ignore,33850
Australia,AUS,Kiribati,KIR,Fuel fabrication,259
Australia,AUS,Kiribati,KIR,Power Plant,1518
Australia,AUS,Lao People's Dem. Rep.,LAO,Enrichment,11947
Australia,AUS,Lao People's Dem. Rep.,LAO,Fuel fabrication,11451
Australia,AUS,Lao People's Dem. Rep.,LAO,Ignore,162821
Australia,AUS,Latvia,LVA,Power Plant,1261
Australia,AUS,Lithuania,LTU,Ignore,72804
Australia,AUS,Madagascar,MDG,Fuel fabrication,120
Australia,AUS,Madagascar,MDG,Ignore,157344
Australia,AUS,Malaysia,MYS,Fuel fabrication,38366
Australia,AUS,Malaysia,MYS,Ignore,517339
Australia,AUS,Malaysia,MYS,Mining,338102
Australia,AUS,Malaysia,MYS,Power Plant,1208412
Australia,AUS,Maldives,MDV,Ignore,708
Australia,AUS,Mauritania,MRT,Enrichment,183
Australia,AUS,Mexico,MEX,Fuel fabrication,24377
Australia,AUS,Mexico,MEX,Ignore,292943
Australia,AUS,Mexico,MEX,Power Plant,79903
Australia,AUS,Mongolia,MNG,Ignore,130147
Australia,AUS,Mongolia,MNG,Power Plant,154
Australia,AUS,Morocco,MAR,Power Plant,1549
Australia,AUS,Mozambique,MOZ,Enrichment,185880
Australia,AUS,Myanmar,MMR,Ignore,98361
Australia,AUS,Netherlands,NLD,Enrichment,138748
Australia,AUS,Netherlands,NLD,Fuel fabrication,421
Australia,AUS,Netherlands,NLD,Ignore,214561
Australia,AUS,Netherlands,NLD,Power Plant,20355152
Australia,AUS,New Caledonia,NCL,Enrichment,1725
Australia,AUS,New Caledonia,NCL,Fuel fabrication,15671
Australia,AUS,New Caledonia,NCL,Ignore,4288
Australia,AUS,New Zealand,NZL,Enrichment,231311
Australia,AUS,New Zealand,NZL,Fuel fabrication,168859
Australia,AUS,New Zealand,NZL,Ignore,3369705
Australia,AUS,New Zealand,NZL,Power Plant,285048
Australia,AUS,Niger,NER,Ignore,18629
Australia,AUS,Nigeria,NGA,Ignore,3299
Australia,AUS,Norway,NOR,Ignore,2589
Australia,AUS,Oman,OMN,Fuel fabrication,1036
Australia,AUS,Oman,OMN,Ignore,45098
Australia,AUS,Pakistan,PAK,Enrichment,28293
Australia,AUS,Pakistan,PAK,Fuel fabrication,10887
Australia,AUS,Pakistan,PAK,Ignore,114575
Australia,AUS,Panama,PAN,Ignore,93406
Australia,AUS,Papua New Guinea,PNG,Enrichment,189746
Australia,AUS,Papua New Guinea,PNG,Fuel fabrication,16653
Australia,AUS,Papua New Guinea,PNG,Ignore,413377
Australia,AUS,Peru,PER,Enrichment,15366
Australia,AUS,Peru,PER,Fuel fabrication,38881
Australia,AUS,Peru,PER,Ignore,318700
Australia,AUS,Peru,PER,Power Plant,48443
Australia,AUS,Philippines,PHL,Enrichment,21923
Australia,AUS,Philippines,PHL,Ignore,650247
Australia,AUS,Poland,POL,Ignore,18304
Australia,AUS,Poland,POL,Power Plant,74723
Australia,AUS,Portugal,PRT,Ignore,46107
Australia,AUS,Rep. of Korea,KOR,Enrichment,231337015
Australia,AUS,Rep. of Korea,KOR,Fuel fabrication,39674
Australia,AUS,Rep. of Korea,KOR,Ignore,756939
Australia,AUS,Rep. of Korea,KOR,Mining,48756712
Australia,AUS,Rep. of Korea,KOR,Power Plant,378409466
Australia,AUS,Romania,ROM,Fuel fabrication,2448
Australia,AUS,Romania,ROM,Ignore,151876
Australia,AUS,Romania,ROM,Mining,1
Australia,AUS,Russian Federation,RUS,Fuel fabrication,25117
Australia,AUS,Russian Federation,RUS,Ignore,67138
Australia,AUS,Russian Federation,RUS,Power Plant,515993
Australia,AUS,Rwanda,RWA,Ignore,45340
Australia,AUS,Saint Helena,SHN,Enrichment,121964
Australia,AUS,Samoa,WSM,Fuel fabrication,3451
Australia,AUS,Samoa,WSM,Ignore,12615
Australia,AUS,Saudi Arabia,SAU,Fuel fabrication,223107
Australia,AUS,Saudi Arabia,SAU,Ignore,253310
Australia,AUS,Senegal,SEN,Ignore,139706
Australia,AUS,Senegal,SEN,Mining,777
Australia,AUS,Serbia,SRB,Ignore,77234
Australia,AUS,Singapore,SGP,Enrichment,1339
Australia,AUS,Singapore,SGP,Fuel fabrication,9516
Australia,AUS,Singapore,SGP,Ignore,363863
Australia,AUS,Singapore,SGP,Power Plant,11687
Australia,AUS,Slovakia,SVK,Ignore,88744
Australia,AUS,Solomon Isds,SLB,Enrichment,24499
Australia,AUS,Solomon Isds,SLB,Fuel fabrication,3459
Australia,AUS,Solomon Isds,SLB,Power Plant,1019
Australia,AUS,Solomon Isds,SLB,Spent Fuel / HLW,63
Australia,AUS,South Africa,ZAF,Enrichment,37388
Australia,AUS,South Africa,ZAF,Fuel fabrication,169
Australia,AUS,South Africa,ZAF,Ignore,5655494
Australia,AUS,South Africa,ZAF,Power Plant,744
Australia,AUS,Spain,ESP,Ignore,56053
Australia,AUS,Spain,ESP,Power Plant,427444
Australia,AUS,Sri Lanka,LKA,Enrichment,13
Australia,AUS,Sri Lanka,LKA,Ignore,44742
Australia,AUS,Sri Lanka,LKA,Power Plant,41
Australia,AUS,Sweden,SWE,Ignore,78916
Australia,AUS,Sweden,SWE,Power Plant,490522
Australia,AUS,Switzerland,CHE,Fuel fabrication,6536
Australia,AUS,Switzerland,CHE,Ignore,4130
Australia,AUS,"Taiwan, China",TWN,Ignore,7895982
Australia,AUS,"Taiwan, China",TWN,Power Plant,18499182
Australia,AUS,Thailand,THA,Enrichment,19785
Australia,AUS,Thailand,THA,Fuel fabrication,24709
Australia,AUS,Thailand,THA,Ignore,758844
Australia,AUS,Thailand,THA,Mining,2148973
Australia,AUS,Thailand,THA,Power Plant,11786
Australia,AUS,Timor-Leste,TLS,Ignore,28678
Australia,AUS,Togo,TGO,Ignore,48220
Australia,AUS,Trinidad and Tobago,TTO,Enrichment,67665
Australia,AUS,Tunisia,TUN,Ignore,393
Australia,AUS,Turkey,TUR,Fuel fabrication,11139
Australia,AUS,Turkey,TUR,Ignore,1777309
Australia,AUS,Turkey,TUR,Power Plant,302327
Australia,AUS,USA,USA,Enrichment,96476
Australia,AUS,USA,USA,Fuel fabrication,407667
Australia,AUS,USA,USA,Ignore,62147004
Australia,AUS,USA,USA,Mining,315694376
Australia,AUS,USA,USA,Power Plant,21901903
Australia,AUS,Uganda,UGA,Fuel fabrication,8433
Australia,AUS,Ukraine,UKR,Ignore,495
Australia,AUS,Ukraine,UKR,Power Plant,225643
Australia,AUS,United Arab Emirates,ARE,Fuel fabrication,75107
Australia,AUS,United Arab Emirates,ARE,Ignore,80753
Australia,AUS,United Arab Emirates,ARE,Power Plant,57128
Australia,AUS,United Kingdom,GBR,Enrichment,22561
Australia,AUS,United Kingdom,GBR,Fuel fabrication,373448
Australia,AUS,United Kingdom,GBR,Ignore,10196
